Adam
Ulubione;Ulubione strony
www.onet.pl;strona z informacjami;ikona.jpg;0
www.wp.pl;strona z informacjami wpppp;ikona.jpg;1
www.google.pl;strona z informacjami google;ikona.jpg;2
Sport;strony sportowe
www.sport.pl;strona ze streamami;ikona.jpg;3
www.meczyki.pl;strona z wynikami;ikona.jpg;4
Gry;Strony z grami
www.chess.com;szachy;ikona.jpg;1
www.giercownia.pl;gra w małysza;ikona.jpg;2
Pawel
Sport;strony sportowe
www.sport.pl;strona ze streamami;ikona.jpg;0
www.meczyki.pl;strona z wynikami;ikona.jpg;0
Gry;Strony z grami
www.chess.com;szachy;ikona.jpg;0
www.giercownia.pl;gra w małysza;ikona.jpg;0
Nowy;Opis katalogu
www.example.com;website description;ikona.jpg;0
www.example.com;website description;ikona.jpg;0
Nowy;Opis katalogu
Oliver
Sport;strony sportowe
www.sport.pl;strona ze streamami;ikona.jpg;3
www.meczyki.pl;strona z wynikami;ikona.jpg;4
Gry;Strony z grami
www.chess.com;szachy;ikona.jpg;1
www.giercownia.pl;gra w małysza;ikona.jpg;2
